miRNA,gene,score
hsa-miR-203a-3p,SOCS6,0.816723912481344
hsa-miR-203a-3p,MORF4L1,0.812426314882616
hsa-miR-203a-3p,KIF2A,0.811582699996111
hsa-miR-203a-3p,DDX6,0.809670042444561
hsa-miR-203a-3p,TCF7L2,0.809485580856111
hsa-miR-203a-3p,SEMA3A,0.808902924173264
hsa-miR-203a-3p,KAT6A,0.807612008186046
hsa-miR-203a-3p,PLPP3,0.806627804046838
hsa-miR-203a-3p,MAP3K1,0.806515099190448
hsa-miR-203a-3p,ETV1,0.806464119934019
hsa-miR-203a-3p,NAA30,0.805395411374317
hsa-miR-203a-3p,NUAK1,0.804115142418156
hsa-miR-203a-3p,ADAMTS6,0.803174278323366
hsa-miR-203a-3p,LCOR,0.803169665470066
hsa-miR-203a-3p,SEC62,0.803162149334703
hsa-miR-203a-3p,MAP4K3,0.802732292192106
hsa-miR-191-5p,SATB1,0.862414564832769
hsa-miR-191-5p,TAF5,0.858292901728735
hsa-miR-191-5p,EGR1,0.848810069396401
hsa-miR-191-5p,TMOD2,0.843504786113703
hsa-miR-191-5p,AMMECR1L,0.839697328239712
hsa-miR-191-5p,TJP1,0.822453545758584
hsa-miR-191-5p,SOX4,0.807352917840403
hsa-miR-191-5p,NRCAM,0.806874110520769
hsa-miR-191-5p,BNC2,0.800211505655297
